17.83;8.76479e+06
10.16;3283.44
18.54;3346.56
19.5;3409.65
18.96;3471.79
18.44;3534.66
18.33;3597.73
17.73;3660.01
17.33;3723.15
17.23;3785.49
16.84;3848.59
16.94;3911.17
16.84;3973.61
16.65;4035.8
16.75;4098.94
16.56;4161.32
16.65;4224.33
16.75;4286.64
16.47;4349.72
16.65;4412.13
16.47;4474.52
16.56;4537.6
16.65;4600
16.37;4662.98
16.56;4724.98
16.75;4788.06
16.56;4850.29
16.65;4913.38
16.56;4975.83
16.56;5038.81
16.56;5101.23
16.37;5164.16
16.56;5226.6
16.47;5288.92
16.75;5352.01
16.65;5414.48
16.47;5477.47
16.75;5539.9
16.65;5602.23
16.65;5665.32
16.47;5727.83
16.47;5790.04
16.56;5853.24
16.56;5915.73
16.65;5977.98
16.56;6041.19
16.56;6103.45
16.65;6166.55
16.65;6228.98
16.56;6291.68
16.56;6354.2
16.56;6417.16
16.65;6479.65
16.47;6541.85
16.65;6604.98
16.65;6667.27
16.56;6730.32
16.75;6792.52
16.65;6855.62
16.56;6917.9
16.56;6981.08
16.75;7043.46
16.56;7106.31
16.56;7168.57
16.65;7231.65
16.56;7293.87
16.47;7357
16.84;7419.35
16.65;7482.35
16.56;7545.08
16.56;7607.5
16.84;7670.45
16.56;7732.89
16.56;7795.07
16.75;7858.2
16.65;7920.37
16.56;7983.6
16.84;8045.9
16.65;8108.93
16.56;8171.32
16.56;8234.31
16.94;8297.28
16.56;8359.48
16.56;8422.41
16.84;8484.86
16.56;8547.11
16.56;8610.18
16.65;8672.42
16.84;8735.61
16.65;8798.27
16.75;8861.27
16.94;8924.18
16.65;8986.82
16.65;9049.61
16.94;9111.32
16.65;9174.61
16.65;9236.77
16.56;9299.51
16.84;9362.32
16.65;9424.33
16.56;9487.55
16.84;9550.2
16.47;9612.92
16.75;9675.31
17.4;9738.15
16.65;9800.29
16.56;9863.09
16.75;9925.97
16.84;9988.46
16.65;10051.1
16.75;10113.7
16.84;10176.1
16.56;10239.4
16.75;10301.9
16.65;10364.5
16.47;10427.1
16.65;10489.5
16.75;10552.6
16.75;10615.2
16.65;10677.6
16.56;10740.8
16.94;10803.3
16.47;10865.9
16.56;10929.4
16.94;10991.1
16.56;11053.6
16.65;11116.6
16.65;11179.2
16.75;11241.8
16.56;11304.2
16.84;11366.5
16.84;11429.8
16.56;11492.3
16.75;11555
16.94;11617.2
16.56;11680.3
16.65;11742.6
16.65;11805.7
16.84;11868.1
16.75;11931.3
16.75;11993.8
16.75;12056.6
16.65;12119.2
16.75;12181.5
16.84;12244.1
16.56;12306.8
16.65;12369.4
16.75;12432.1
16.47;12494.3
16.56;12557.5
16.75;12620
16.84;12682.5
16.56;12745.1
16.65;12807.5
16.65;12870.7
16.56;12933.2
16.65;12995.6
16.65;13058
16.47;13120.6
16.75;13183.9
16.65;13246.4
16.37;13308.8
16.56;13371.3
16.56;13434.4
16.65;13496.7
16.37;13559.2
16.65;13622.5
16.65;13685
16.47;13747.6
16.56;13809.9
16.65;13872.4
16.37;13935.6
16.65;13998.2
16.56;14060.8
16.65;14123.3
16.75;14185.6
16.56;14248.8
16.65;14311.5
16.47;14373.9
